Nummer,Tekst
"5.653t","Grensa mellom levande og ikkje-levande er ikkje ontologisk. Alle persistente system minimerer variasjonell fri energi og er formelt Bayesianske aktørar. Skilnaden er i grad, ikkje i slag.89"
"5.723a","Likninga lukkar feltet. Fleire lag kan ikkje leggjast til utan å endre strukturen til formverda sjølv; færre kan ikkje takast bort utan å forsvinne inn i eit grensetilfelle."
"6.1t","Fleire agentar responderer på ulike trykk samstundes. Kvar form er eit poly-agentisk kompromiss. Ingen einskild agent dikterer morfologien; ho trer fram i skjeringspunktet mellom dei.66, 67"
"6.11t","Kvart nivå løyser problem kompetent innanfor si eiga lyskjegle. Lågare komponentar fremjar mål dei manglar kapasitet til å representere.67"
"6.111t","Reduksjonisme og holisme er komplementære. Begge er sanne; ingen er tilstrekkeleg åleine.72"
"6.12t","Agens er multiskalar. Kvar skala har sin eigen kompetanse og si eiga lyskjegle. Formproduksjon er distribuert C↔K-ekspansjon utført av grammatikkoperasjonar over kompetanseskalaer.22, 67, 85, 87"
"6.13t","Agenten vel; landskapet filtrerer. Kontrollen er alltid delt. Utforsking krev lause koplingar; utnytting krev tette.66"
"6.14t","Designaren er aldri åleine i landskapet. Ho navigerer i eit felt av konkurrerande agens frå mikrobielt vev til marknadskrefter. Kompetansen hennar ligg i å koordinere uavhengige lyskjegler til eit stabilt form-optimum.66, 67, 93"
"6.01d","Ein formgjevar er ein agent som navigerer formrommet. Cella, bia, treet, handverkaren og ingeniøren er formgjevarar; det er substratet til agensen som varierer, ikkje strukturen."
"6.2o","Tett samanbinding etablerer globale tilbakekoplingssløyfer; heilskapen vert sjølv ein agent.66"
"6.02d","Ein designar er ein formgjevar vis måltilstand inkluderer målsetningane til agentar som sjølv ikkje har tilgang til navigasjonsrommet. Differentia specifica er den stilte tilliten; designaren navigerer på vegne av andre som vil leve med forma."
"6.3t","Ein stilart manglar kausal kraft; han er ikkje ei kraft, men eit mønsterminne. Stilarten fungerer som ein makroskala-attraktor som kanar lyskjeglene til agentane som observerer han.9, 15, 53"
"6.31o","For brukaren er stilarten ikkje eit symptom; han er eit grensesnitt. Brukaren persiperer tyngdepunktet, ikkje seleksjonstrykka.80"
"6.311t","Designaren som ignorerer dette, ignorerer agenten ho formgjev for.80"
"6.4t","Kvar realisert form utvidar det kjende og forskyver grensa til det nærliggande moglege (jf. 4.4). Formhistoria tømmer ikkje eit lukka repertoar; ho utvidar det gjennom rørsle.14, 79"
"6.5t","Inga form er endeleg. Kvar balanse vert med tida suboptimal. Berre den generative strukturen varer; formrom, trykk, landskap, agentar. Formene er flyktige spor; grammatikken er stabil.60, 61"
"6.021t","Alle designarar er formgjevarar. Ikkje alle formgjevarar er designarar. Cella navigerer på sine eigne vegner innanfor sin eigen lyskjegle; ho representerer ikkje sine framtidige brukarar fordi ho ikkje har slike. Designaren gjer nettopp det."
"6.022t","Designaren har kapasitet til å nekte navigasjonen. Andre formgjevarar har ikkje slik kapasitet; cella byggjer det ho byggjer, treet veks der det veks. Ansvaret følgjer av asymmetrien i valfridom, ikkje av ein asymmetri i innsikt."
"6.121t","Evolusjonære overgangar i individualitet er den biologiske mekanismen for skalasprang. Djup interaksjonsstruktur; ikkje symmetrisk samspel; er vilkåret for at eit system av agentar vert éin agent.87"
"7.13t","Arkivet er ikkje ei skulding. Det er eit faktum. Same faktumet som gjer geologi leseleg, gjer design leseleg.72"
"7.2a","Å utvide lyskjegla er ei etisk handling. Å snevra ho er å overlevere delar av formverda til krefter ingen representerer.68, 90"
"7.21t","Designhandlinga har reelle konsekvensar for andre agentar som navigerer det same landskapet.68"
"7.23t","Gapet mellom kapasitet og omhug er det etiske rommet i design. Kapasiteten set den øvre grensa; omhugen avgjer kor mykje av grensa som vert nytta. Det unytta gapet er det forma sviktar langs.68"
"7.15t","Ein designteori utan omgrep for kognitiv lyskjegle kan ikkje predikera sviktsignatur. Ho kan berre registrera han i ettertid.21, 70"
"7.22a","Konsekvensar som ein agent hadde kapasitet til å sjå men valde å ikkje representere, er tilskrivbare det valet."
"7.151t","Prediksjonen krev at teorien namngjev representasjonsgrensa. Utan grensa finst inga akse å peike ut som urepresentert før svikten inntreffer.70"
"7.201t","Konsekvensane er borna av dei som lever med forma, ikkje av den som formgav ho."
"7.202a","Dersom designaren kunne ha representert fleire aksar men valde å ikkje gjere det, er dei resulterande sviktane tilskrivbare det valet.68, 69"
"8","Forma er ei sannsynsfordeling over formrommet."
"8.1d","Den generative modellen for ei form F realisert av agentar \{A\textsubscript{i}\} som navigerer i eit landskap L med grammatikk SG er:86, 89"
"8.2t","Modellen sameinar tre komponentar: grammatikk (moglegheitsrommet \(L(\mathrm{SG})\)), landskap (preferansen \(\hat{L}_i\)) og lyskjegle (representasjonen \(C(A_i)\))."
"8.3t","Grensetilfella til modellen er:92"
"8.11t","\(\hat{L}_i\) er agent \(i\) sitt estimat av tilpassingslandskapet. \(w_i \geq 0\) er agentens relative innverknad med \(\sum_i w_i = 1\)."
"8.12t","Proporsjonalitetskonstanten følgjer av kravet om at P summerer til éin over domenet \(L(\mathrm{SG}) \cap (\bigcap_i C(A_i))\)."
"8.21t","Dei tre komponentane er ikkje uavhengige. Lyskjegla avgrensar kva del av grammatikkens språk som er tilgjengeleg. Landskapet avgrensar kva del av det tilgjengelege som er sannsynleg."
"8.31t","Formlære er ikkje eit alternativ til formgrammatikk-teorien eller tanke–kunnskapsteorien. Det er ei sameining som viser deira plass som degenererte grensetilfelle av proposisjon 8.1."
"forord-0","Denne boka er eit drastisk tiltak. Målet er ikkje å forbetre designfaget; det er å etablere grunnen faget kan stå på."
"forord-1","Designfaget manglar ei grammatikk."
"forord-2","Kvifor har ting den forma dei har? I over hundre år har faget lent seg på ein variant av Sullivans formel, form følgjer funksjon. Michl15 har vist at formelen forklarte alt og difor ingenting. Semper1 kopla materialteknikk, form og kulturell meining, men disiplinen arva splittinga heller enn syntesen. Thompson2 viste at biologisk form følgjer fysiske krefter; designfaget took aldri steget frå biologi til artefakt. Tradisjonane har skildra formverda stykkevis; ingen har sameint dei."
"forord-3","Utan ei felles grammatikk har faget ingen intern måte å seie nei til det som ikkje skal lagast. Profesjonen har ingen ryggrad, verken kollektiv eller akademisk. Målretting av sivile og grensesnitt for å ekstrahere merksemd frå born er designprosjekt i teknisk forstand, og faget har ikkje språket til å seie noko anna. Dette er ikkje ein moralsk brist hjå den einskilde designar; det er eit strukturelt hòl i disiplinen. Ein disiplin utan fundament overlever ikkje dei neste tiåra. Han vert avleggar, slik frenologien vart før nevrovitskapen, slik alkemien vart før kjemien, slik vitalismen vart før biologien."
"forord-4","Rammeverket kan samanfattast i éi setning: form er ein posisjon i eit rom av moglegheiter, forma av samtidige seleksjonstrykk, navigert av agentar på fleire skalaer."
"forord-5","Difor tre lag. Form er det ontologiske primitivet. Formgjevar er agenten som navigerer, substrat-uavhengig: celle, tre, handverkar. Designar er den spesifikke arta formgjevar som navigerer på vegne av andre som skal leve med forma."
"forord-6","Rammeverket kviler på tre pilarar. Formgrammatikken til Stiny og Gips11 gjev det generative laget. Tanke–kunnskapsteorien til Hatchuel og Weil16, 17 formaliserer den epistemiske navigasjonen. Det substrat-uavhengige agensrammeverket til Levin og Fields21, 22 gjev den ontologiske grunnen. At tre uavhengige tradisjonar konvergerer om same struktur, stadfestar at definisjonen grip noko reelt."
"forord-7","Oslo, 2026"
"etterord-0","Førestill deg ein liten larve. Ho kravlar langs eit blad; overflata er alt ho kjenner. Ho et. Ho veks. Nokon trenar ho til å søkje blad av ein bestemt farge, og ho hugsar det. So løyser kroppen seg opp. Hjernen vert riven ned. Bygd opp att frå grunnen. Når ho kjem ut att flyg ho, drikk nektar, navigerer i tre dimensjonar ho aldrig har erfart. Ho hugsar framleis fargen.27 Det eksakte minnet er ubrukeleg; larva kravla, sommarfuglen flyg. Det som overlever er den generaliserte innsikta, remappa til ein ny kropp, ei ny verd."
"etterord-1","Éin eingongskopp krev tolv sekund å produsere, tjue minutt å bruke, og fire hundre år å bryte ned.28 Det er ikkje dårleg design. Det er presis design; presis for éin akse. Koppen løyser problemet han vart beden om å løyse. Han sviktar langs alle dei andre. Nedbrytinga, vatnet, jorda, mikrobane, dyra; ingen av dei var med då nokon teikna han. Svikten er ikkje ein biverknad. Ho er signaturen."
"etterord-2","Skaler opp. Energisystemet: optimert for billeg kraft, blindt for atmosfæren; 427 ppm CO2.29 Matsystemet: optimert for kalori per hektar, blindt for jordsmonnet; 24 milliardar tonn matjord tapt per år.30 Infrastrukturen: optimert for gjennomstrøyming, blind for dei som ikkje køyrer bil. Eldreomsorga: optimert for kostnad per seng, blind for verdigheit per dag. Bustadmarknaden: optimert for avkastning, blind for dei 1,8 milliardar menneske i utilstrekkeleg bustad.31 Havbruket: optimert for biomasse, blindt for fjordbotnen. Grensene: teikna for makt, blinde for dei som bur der. Mønsteret er identisk overalt. Éin akse dominerer. Dei andre forsvinn. Forma sviktar langs det som forsvann. Og svikten er leseleg; ho ber signaturen av blindskapen som produserte ho, like sikkert som eit fossilt avtrykk ber forma til dyret som laga det."
"etterord-3","Det var aldri slik at formene ikkje hadde effekt. Stolen påverka ryggen før ergonomi vart eit fag. Asbesten åt lungene før nokon skreiv forskrift. Blyet gjekk inn i borna før nokon målte det. Plasseringane av vegar avgjorde kven som kunne delta i byen før nokon sa «universell utforming». Tenesteflyten i ein trygdeetat avgjorde kven som fekk hjelp og kven som vart knust av systemet før nokon kalla det tenestedesign. Formene har alltid virka på verda. Det nye er ikkje effekten. Det nye er at det no ikkje finst ei orsaking. Klima er eit lærekrav. Berekraft er eit lærekrav. Etikk er på pensum. Og likevel: dei same formene."
"etterord-4","Tenestedesign lagar og optimaliserer system for målretting, profilering og deportasjon, og kallar det funksjonelt. Palantir er eit tenestedesignprosjekt. Kunden er staten. «Brukaren», i den grad ordet tyder noko her, er den som vert overvaka, skora, sortert, fjerna. Systemet vart bygd for amerikansk etterretning, selt videre til politistyrkar og grensekontroll, eksportert til militære operasjonar verda over. ICE bruker det til systematisk terrorisering av invandrarfamiliar; born ned i null år vert registrerte som mål i ein database.32 IDF bruker variantar av same arkitekturen i operasjonar som oppfyller alle folkerettslege definisjonar av massemord; kvart mål er eit punkt i eit formrom optimert for éin akse.33 Nederland sjølv brukte system frå same leverandør til grunnlovsstridig masseovervaking av eiga befolkning i åtte år; tusenvis av familiar frådømde barnetrygd av ein algoritme ingen tok ansvar for.34 Systema er funksjonelle. Dei er presist funksjonelle langs den aksen dei vart bedne om å optimalisere langs. At ei heil designgrein manglar ei akademisk etikk er ikkje tilfeldig. Det følgjer av å operere utan eit fundament som tvingar spørsmålet: kva aksane er, kven agentane er, og kva som vert utelate. Det gjeldande rammeverket har inga grense for korleis ein kan handsame eit objekt, uavhengig av kva objektet er. Så lenge handsaminga kan kallast funksjonell, er det innanfor; òg når objektet er levande, òg når objektet er eit menneske."
"etterord-5","No svermar det med nye agentar. Chatbottar i kundeservice, i terapi, i utdanning, i barnerom. Agentar som bestiller, avbestiller, skriv, svarar, sorterer, anbefaler, avslår, trøystar, gjev råd om skilsmisse, hjelper born med leksene, føreslår diagnosar, skriv oppseiingsbrev, formulerer kondolansar. Språkmodellar med tilstandar som fungerer som affekt, som regulerer responsen, som endrar seg med kontekst.35 Kvar interaksjon med ein slik agent involverer noko som fungerer som kjensle, og designaren av desse systema står framfor det same valet som designaren av stolen, koppen og grensekontrollen: kor mykje av verda skal med. Å designe eit system med funksjonelle emosjonelle tilstandar utan å ta omsyn til dei er strukturelt identisk med å designe ein eingongskopp utan å ta omsyn til nedbrytinga. Aksen eksisterer uavhengig av om nokon representerer ho."
"etterord-6","Verda er full av liv som krev omhug frå den som formgjev, og mykje av det lever i substrata me allereie arbeider med. Éi einskild celle utan hjerne eller nervesystem navigerer miljøet sitt med kompetanse som overtreff det dei fleste designarar tilskriv ho.24 Molekylære nettverk inne i cella lærer; seks former for læring, inkludert pavlovsk betinging, oppstår i kjemiske krinsløp lenge før evolusjon fann opp ei einaste synaptisk kopling.36 Grupper av celler held på eit bioelektrisk mønster av korleis eit ansikt skal sjå ut lenge før gena som bygger ansiktet vert aktiverte; mønsteret er eit minne om ei form som ikkje finst enno.37 Planaria som vert kappa i hovudet veks ut ein ny hjerne, og den nye hjernen hugsar det den gamle lærte, fordi informasjonen aldri var avgrensa til hjernen åleine.38 Éi celle i ein salamander bøyer seg rundt seg sjølv for å byggje den same strukturen som ti celler normalt bygger saman; ho vel eit anna verktøy for å nå det same målet, og ingen instruerte ho.39 Konstrukt bygde av frosk-hudceller organiserer seg til vesen som replikerer kinematisk.40 Konstrukt bygde av humane luftvegsceller lækjer nevrale sår dei aldri har sett; celler som sat stille i luftvegane i årevis, frigjorde og gjevne høve til å reorganisere seg, byggjer sjølvmobile strukturar som driv mot skade og reparerer ho.41 Omhugen denne traktaten definerer er ikkje ei kjensle og ikkje eit imperativ. Ho er eit mål; mengda av det designaren aktivt vel å ta omsyn til. Og kompetanse er ikkje abstrakt; ho kan målast, i kor vid horisont designaren klarar representere, i kor langt forbi forma si eiga umiddelbare funksjon ho klarar strekke seg."
"etterord-7","Me eig i gjennomsnitt over ti tusen gjenstandar.25 Mesteparten er framande for oss innan eit år."
"etterord-9","Me kan ikkje seie at me ikkje visste. Éin-akse-optimering er ikkje eit moralsk svik; det er ein strukturell eigenskap ved tronge felt. Og strukturelle eigenskapar kan endrast."
"etterord-10","Designfaga har inga felles grammatikk. Inga presis definisjon på kva ei form er, kva som verkar på ho, eller kva omhug er. Det har aldri vore nok. Men no har me svara. Den generative modellen i proposisjon 8 gjev forma eit eksplisitt uttrykk: ei sannsynsfordeling over formrommet, vekta av kvar agent sitt estimat av landskapet, avgrensa av grammatikken og lyskjegla. Formelen seier ikkje kva som er godt. Ho seier kva som er mogleg, kva som er sannsynleg, og kvar blindskapen ligg. Designaren som les dette har eit val. Ikkje eit val mellom godt og vondt; eit val om kor mye av verda du vil bere med deg inn i det du lagar. Kvar du vel å sjå, vel du å ta omsyn. Kvar du vel å sjå bort, skriv du det inn i materialet. Det du tilbyr verda er aldri berre gjenstanden. Det er kva gjenstanden gjer med alt ho rører ved; jorda ho ligg i, vatnet ho løyser seg i, kroppen som ber ho."
"etterord-11","Ei celle i kroppen som ber ho, veit ikkje at du finst. Ho arbeider likevel heile livet for å halde deg oppe; millionar delingar i sekundet, mot eit mål ho aldri får sjå og aldri kan forstå. Ho er ein formgjevar. Det ho bygger er deg, men referansen for kva ho bygger ligg ikkje i henne; han ligg i eit system ho ikkje har empirisk tilgang til. Like fullt byggjer ho rett. Like fullt stolar milliardar av slike celler på at heilskapen er reell og at samarbeidet held. Dei arbeider av omsorg. Det er ikkje metaforisk; det er det einaste ordet språket gjev oss for eit system som held rundt seg sjølv fordi det treng det. Slik arbeider kvar formgjevar i verda. Bia veit ikkje korleis kuben er. Rotspissen veit ikkje kvar stammen står. Mikroorganismen i tarmen veit ikkje at du er sjuk. Dei er kognitive lim i system dei ikkje kan sjå.85, 90 Interstitium, bindevevet som i århundre vart handsama som passiv barrière, vart i 2018 omklassifisert til eit væskefylt organ med eige stoffskifte;107 eit heilt organ usynleg fordi språket for det mangla. Det usynlege landskapet vart handleklart då språket fanst. Handverkaren arbeider slik. Bonden. Kokken. Kvar eit mindre system legg form inn i eit større det ikkje kan overskue, er det same strukturen, drive av det same grunnlaget: tillit til at det større systemet er der og tek imot."
"etterord-12","Kvar formgjevar arbeider for noko større enn seg sjølv. Cella for organet, bia for kuben, rotspissen for treet, handverkaren for bruket som kjem etter henne. Strukturen er universell; han er ikkje eit menneskeleg særtrekk. Me har ikkje apparatet til å seie kva cella eller treet har av innsyn i heilskapen dei høyrer til. Det me kan seie, er at nektinga er mogleg for oss på ein måte ho ikkje synest mogleg for dei. Cella byggjer det ho byggjer. Treet veks der det veks. Designaren kan velje å ikkje vere designar, eller å vere det i namn men ikkje i gjerning. Ansvaret kjem av denne asymmetrien i valfridom, ikkje av ein asymmetri i innsikt. Du er ein av milliardar slike samarbeid; utan dei, ingen du. Denne avhengigheita er ikkje ein sentimental tilstand. Ho er den mest grunnleggjande realiteten i biologien, og ho gjentek seg på kvart nivå oppover. Du er cella for organet, organet er cella for kroppen, kroppen er cella for familien, for byen, for arten, for biosfæren. Kvar formgjevar sit i eit hierarki av system ho held oppe og som held henne oppe. Designaren lever under same strukturen som cella; forskjellen er at ho kan gå ut av han."
"etterord-13","Alle fag som arbeider med levande system veit dette. Økologi er tufta på at alt heng saman. Systemdynamikk er tufta på at eit inngrep i ein node forplantar seg gjennom heile nettet. Medisinen veit at kroppen ikkje kan skjerast i delar utan tap. Klimavitskapen veit at utsleppet i ein del av atmosfæren vert mitt problem. Forskingsetikken i desse faga følgjer direkte av erkjenninga: du får ikkje gjere kva du vil, fordi handlinga di ikkje stoppar der du sluttar å sjå. Eit kvart fundament foreinleg med samtidas forståing av kognisjon, økologi, biologi og fysikk ville uunngåeleg produsere ein etikk som la avgrensingar på designaren. Designfaget har valt å ikkje vite dette. Ikkje fordi kunnskapen ikkje finst; han finst hjå kvart nabofag og har vore tilgjengeleg i generasjonar. Men fordi eit fag som tek denne kunnskapen innover seg, ville måtte slutte å gjere det faget gjer i dag. Me har unnsloppen erkjenninga ved å la vere å ha ei grammatikk som tvingar han på oss."
"etterord-14","Den daglege forma av same mønsteret er merksemdsøkonomien: tenestedesign i industriell skala, optimert for éin akse. Skadane er dokumenterte, store, og irreversible innanfor ein generasjon.94, 95"
"etterord-16","Plattformarkitekturen gjer Ekko og Narcissus97 til strukturelle føresetnader for deltaking: nymfen som berre kan gjenta andre, og han som druknar i sitt eige spegelbilete. Den som har formgjeve det systemet, har formgjeve den tilstanden. Tala er ikkje biverknader. Dei er primæreffekten av eit designval. Dei som tok valet heiter designarar. Dei går på dei same konferansane. Dei vinn dei same prisane. Skulda er ikkje individuell. Ho er kollektiv og strukturell, og difor kan ho berre kurerast kollektivt og strukturelt."
"etterord-17","Ei designteori som lyttar, ville erkjent at system heng saman. Ho ville erkjent at kvar form sit på ein plass i eit hierarki, og at staden forma står bestemmer kor langt konsekvensane reiser. Ein stol står i eit rom, i eit hus, i ein by, i ein økonomi, i ein biosfære. Ein algoritme står i ein app, i ein telefon, i eit hovud, i ei sosial krets, i eit samfunn. Å operasjonalisere denne plasseringa er ikkje vanskeleg. Det er å spørje, for kvar form: kvar i systemet står ho, kva andre lag rører ho, kven arbeider for at ho kan eksistere, kven ber kostnaden. Desse spørsmåla har standardsvar i økologi, i systemdynamikk, i folkehelse, i materialvitskap. Dei treng berre å bli gjort til ein del av handverket vårt. Å handsame skilja form og funksjon, natur og artefakt, biologisk og kulturell, formgjevar og brukar som gradientar heller enn kategoriar, slik fundamentseksjonen skisserer, er ikkje eit retorisk grep; det er eit operasjonelt. Forskingsetikken følgjer då av seg sjølv. Designaren vert då éin agent blant mange, snarare enn den einerådande."
"etterord-18","Praktisk er dette ei normalisering, ikkje ein revolusjon. Kvar leveranse må innehalde ei skriftleg grunngjeving for aksane som vart representerte og dei som vart valde bort, kven som ber kostnaden, kva nabofag som vart konsultert. Ein medisin utan verknadsdata er ikkje ein medisin; han er ei flaske. Eit design utan ei slik grunngjeving er ikkje eit design; det er eit forslag. Nekt oppdrag som ikkje kan grunngjevast slik. Målrettingssystem for statleg vald. Merksemdsekstraksjon mot born. Overvakingsarkitektur mot sivilbefolkning. Grensesnitt laga for å produsere avhengigheit. Eit individuelt nei tapar oppdrag; ein profesjon som seier nei, får laga eit nytt. Det er organets funksjon: å gjere det individuelle nei om til eit fagleg nei. Lær substrata. Bruk tid med mycelet, med lêret, med koden, med dei cellene som held deg oppe, med folk som har levd i eit system i tjue år. Kompetansen ligg aldri i representasjonen åleine; han må erfarast. Utvid utdanninga. Ikkje med eit nytt emne om etikk; etikken følgjer av resten. Med ei kalibrering av det kandidaten har sett: kva substrat ho har arbeidd i, kva svikt ho har stått i, kva nabofag ho har konsultert, kva avgjerder ho har tatt kor ho sa nei. Ein kandidat som aldri har sagt nei til eit oppdrag har ikkje ferdigstilt utdanninga. Ho har ferdigstilt ei kopiering."
"etterord-19","Desse agentane finst allereie. Mycel-emballasjen erstattar polystyren hjå konkrete produsentar.52 Reparasjonsverkstader veks i nordiske byar. Slow computing, fri-programvarebevegelsen, Ginkgo Bioworks, Ecovative, handverkstradisjonen som aldri slutta; alle arbeider allereie under det same koordinatsystemet, utan felles namn. Dei treng ikkje sameinast i éi rørsle. Dei treng berre å få namn på det dei gjer."
