Nummer,Tekst
3.4t,Formgjevinga skapar ikkje landskapets grunnstruktur; den følgjer av dei materielle og energetiske vilkåra. Men kvar realisering modifiserer landskapet lokalt gjennom utviding av K.
3.41i,Isolerte tradisjonar navigerer den same kløfta utan å utveksle eit ord. Uavhengig konvergens stadfestar at attraktoren er reell.
4,Landskapet er dynamisk.
4.1a,"Seleksjonstrykka kviler aldri. Haugar stig, søkk, flyttar seg, deler seg, smeltar saman. Optimal tilpassing er lokal i tid."
4.11o,Ein ny teknologi flyttar grensa for det forbodne; ein ny marknad endrar kva landskapet belønnar; eit nytt materiale utvidar operasjonsrommet.
4.12t,"Kontinuerlege trykk produserer diskontinuerleg endring. Landskapet har tersklar; gradvise trykkforskyvingar akkumulerer seg til haugen kollapsar. Diskontinuiteten kjem frå topologien i landskapet, ikkje frå dynamikken i trykka."
4.2o,"Endringa er difor diskontinuerleg. Lange periodar med stase bryt saman i brå skifte. Radiasjon inn i ein ny region, deretter konvergens. Diskontinuiteten er signaturen til dynamikken, ikkje eit brot med han."
4.3t,"Landskapet har minne.¹⁴ Kvar realisert form endrar seleksjonstrykka for den neste. All formgjeving er omformgjeving; agenten arvar alltid ein posisjon. Stiavhengigheit er eit fundamentalt trekk, ingen anomali."
4.4o,Formrommet ekspanderer kumulativt. Det nærliggande moglege¹³ er C \ K-grensa; mengda av former som er tenkelege men ukjende som realiserbare. Materialstraumar driv landskapsendringa.
4.5o,"Når eitt trykk dominerer, kollapsar landskapet mot éin attraktor. Eit eineveldande trykk forklarer ikkje form; det er fråværet av forklaring. Diversitet speglar mangfald av aktive trykk."
4.51t,Ei lære som reduserer alle seleksjonstrykk til eitt kollapsar feltet til éin dimensjon. Dette er ikkje rasjonalitet; det er systematisk blindskap.
4.511t,Formene som oppstår under eit kollapsa landskap sviktar under dei reelle trykka læra var blind for.
4.512t,Dei fortrengde kompetansane let seg ikkje gjenskape frå læra som fortrengte dei.
5,Verda rommar agentar som responderer på landskapet.
5.1a,Kvar klasse har minst eitt system som navigerer landskapet via negativ tilbakekopling.
5.11d,"Ein agent er ein operator definert av trippelet måltilstand, avstandsmåling, justeringsmekanisme.⁴, ⁷ Agens krev berre organisering; verken medvit, intensjon eller nervesystem."
5.111t,"Definisjonen er substrat-uavhengig. Eit kvart system som oppfyller vilkåra er ein agent.Formelt. Agent A:=(g,d,δ). Det finst ein Lyapunov-funksjon V slik at:• V(g)=0 (Målet er nullpunktet)• V(x)>0 for x=g (Alt anna er avstand)• V er ikkje-aukande langs xn+1​=δ(xn​) (Systemet nærmar seg målet)"
5.12o,"Agens er stratifisert. Strukturen er den same; måltilstand, avstandsmåling, justering. Det som endrar seg, er kor mykje av formrommet agenten kan representere."
5.121i,"Termostaten: eitt mål, éin dimensjon, éin bryter."
5.122i,"Treet: fleire gradientar, ingen sentral prosessor. Kvar grein navigerer lokalt."
5.123i,Kolonien: millionar av agentar; reiret trer fram i feltet mellom dei.
5.124i,"Pattedyret: prediksjon, minne, planlegging. Representasjonen strekk seg over tid."
5.125i,Designaren: representasjonen strekk seg forbi agentens eigne behov.
5.126t,Designaren navigerer på vegne av andre som kjem til å leve med forma.
5.13t,"Agenten responderer på gradienten i landskapet, ikkje på forma. Han oppfinn ikkje målet; han oppdagar det."
5.131t,Navigasjon krev berre den lokale gradienten. Lokal kompetanse produserer global manifestasjon.
5.2d,Kognitiv lyskjegle er delmengda av formrommet agenten kan representere og manipulere.²¹ Alt utanfor lyskjegla manglar kausal eksistens for agenten. Lyskjegler spenner frå cellulær millisekundrespons til tiårslang konsensus.
5.21t,"Lyskjegla dikterer oppløysinga til formrommet. Innanfor ho persiperer agenten ikkje former, men affordansar: operasjonane konfigurasjonen tillèt.¹²"
5.211t,Utviding av lyskjegla aktualiserer latente affordansar; innsnevring deaktiverer reelle.
5.3d,"Konfigurasjonar lukka under union, differanse og transformasjon utgjer ein formalgebra.¹¹, ¹³, ¹⁸"
5.301d,"Formgrammatikken utfører diskrete overgangar i denne geometrien. Reglar fyrer på innleiring: agenten gjenkjenner ei delform inne i heilforma. Inndatageometrien er einaste premiss.Ein formgrammatikk er eit trippel SG=(S,R,ω) der R={ri​:(ai​,bi​)}. Reglane transformerer former:• Regelapplikasjon: s→(s−τ(ai​))+τ(bi​) (Finn delforma; erstatt ho)• Språk: L(SG)={s∈S:ω→∗s} (Alle former grammatikken kan generere)• Fyring: Regelen fyrer for kvar innleiring av ai​ i s• Premiss: Noverande geometri; ikkje konstruksjonshistorie"
5.31t,Grammatikkoperasjonen er ein C→C-partisjon; ho utvidar tankerommet. Realisering er ein C→K-operasjon; ho avgjer konfigurasjonen.
5.311t,Grammatikken definerer moglegheitsrommet; landskapet fastset trajektorien.
5.312t,Agenten forløyser konfigurasjonen som mest radikalt reduserer lokal spenning.
5.4d,Substratet fungerer som ein null-ordens agent. Det vetoar konfigurasjonar og gjev resonans til andre gjennom ufravikelege avgrensingar.
5.41i,"Biologisk vev navigerer via bioelektrisk polarisering;²², ²⁴ menneskeleg praksis via materiell friksjon; ein slimsopp via oscillerande samandragingar; ein språkmodell via vektoriell merksemd."
5.5t,Navigasjonskompetanse akkumulerer seg som strukturert informasjon. Læring er den irreversible ekspansjonen av tilgjengeleg formrom.
5.6d,Omhug²³ er mengda av aksar i formrommet agenten aktivt representerer og justerer for.
5.601t,Omhug er ikkje kapasitet. Kapasiteten er kor mange aksar agenten kan representere; omhugen er kor mange han faktisk representerer.
5.61t,Omhugen avgjer kor mange aksar lyskjegla rommar. Fleire aksar avdekkjer fleire kompromiss.
5.62d,Kompetanse er evna til å navigere mot stabile posisjonar i landskapet. Kompetansen veks med omhugen. Intelligens er denne kompetansen; omhug er intelligensens innhald.²³
5.63t,Ein agent utan omhug for ein dimensjon er blind for gradienten langs den aksen. Blindskapen er ikkje nøytral; dei usynlege trykka verkar framleis.
5.631t,Omhugen kan ikkje supplerast i ettertid; den måtte vore der då forma vart navigert.
5.64a,Å utvide lyskjegla er ei etisk handling. Å snevra ho er å overlevere delar av formverda til krefter ingen representerer.
5.641t,"Konsekvensane er borna av dei som lever med forma, ikkje av den som formgav ho."
5.7d,"Kjerne-likninga. Forma er grammatikken sin respons på gradienten i landskapet, projisert på agenten si lyskjegle:Form=SG(∇C(A)​L(c,t)) (Grammatikk, landskap, lyskjegle)"
5.71o,"Likninga er eit strukturelt skjema. Ho namngjev komponentane som er naudsynte og saman tilstrekkelege. Ho spesifiserer ikkje den funksjonelle forma til L, kva reglar i R som fyrer, eller dimensjonaliteten av C(A)."
5.72t,"Reduksjon. Likninga reduserer til to grensetilfelle:(i) Rein formgrammatikk — når ∇L≡0, ∥A∥=, og  $\Pi = (M, \emptyset, \emptyse. Då er  $Form = SG(0) = L(S: heile det genererte språket utan seleksjon.(ii) Rein kunnskapsromteori — når  $SG = id og  $\mathcal{L} = \mathbb{1}. Då reduserer operasjonane til partisjonsendringar mellom C og K (operatorane i 1.443)."
5.721t,Formgrammatikken og tanke–kunnskapsteorien er difor ikkje konkurrerande rammeverk. Dei er degenererte grensetilfelle av same likning; kvar beskriv den situasjonen der éin av tre komponentar er triviell.
5.722t,"Sidan historiske designsituasjonar aldri er degenererte, er kvart av dei to rammeverka åleine systematisk utilstrekkeleg. Dei manglar ikkje detaljar; dei manglar eit lag."
5.723t,Likninga lukkar feltet. Fleire lag kan ikkje leggjast til utan å endre strukturen til formverda sjølv; færre kan ikkje takast bort utan å forsvinne inn i eit grensetilfelle.
6,Forma oppstår i feltet mellom agentar.
6.1t,Fleire agentar responderer på ulike trykk samstundes. Kvar form er eit poly-agentisk kompromiss. Ingen einskild agent dikterer morfologien; ho trer fram i skjeringspunktet mellom dei.
6.11t,Kvart nivå løyser problem kompetent innanfor si eiga lyskjegle. Lågare komponentar fremjar mål dei manglar kapasitet til å representere.
6.111t,Reduksjonisme og holisme er komplementære. Begge er sanne; ingen er tilstrekkeleg åleine.
6.12t,Agens er multiskalar.²² Kvar skala har sin eigen kompetanse og si eiga lyskjegle. Formproduksjon er distribuert C↔K-ekspansjon utført av grammatikkoperasjonar over kompetanseskalaer.
6.13t,Agenten vel; landskapet filtrerer. Kontrollen er alltid delt. Utforsking krev lause koplingar; utnytting krev tette.
6.14t,Designaren er aldri åleine i landskapet. Ho navigerer i eit felt av konkurrerande agens frå mikrobielt vev til marknadskrefter. Kompetansen hennar ligg i å koordinere uavhengige lyskjegler til eit stabilt form-optimum.
6.2o,Tett samanbinding etablerer globale tilbakekoplingssløyfer; heilskapen vert sjølv ein agent.
6.3t,"Ein stilart manglar kausal kraft;⁹, ¹⁵ han er ikkje ei kraft, men eit mønsterminne. Stilarten fungerer som ein makroskala-attraktor som kanar lyskjeglene til agentane som observerer han.Han forenklar navigasjon ved å tilby eit gjenkjenneleg tyngdepunkt; men å formgje «i ein stil» utan å forstå trykka som genererte klynga, er ein kategorifeil."
6.32t,Å navigere med stilkunnskap er å representere fleire aksar.
6.31o,"For brukaren er stilarten ikkje eit symptom; han er eit grensesnitt. Brukaren persiperer tyngdepunktet, ikkje seleksjonstrykka."
6.311t,"Designaren som ignorerer dette, ignorerer agenten ho formgjev for."
6.4t,Kvar realisert form utvidar det kjende og forskyver grensa til det nærliggande moglege (jf. 4.4). Formhistoria tømmer ikkje eit lukka repertoar; ho utvidar det gjennom rørsle.
6.5t,"Inga form er endeleg. Kvar balanse vert med tida suboptimal. Berre den generative strukturen varer; formrom, trykk, landskap, agentar. Formene er flyktige spor; grammatikken er stabil."
7,Forma viser kor langt omhugen rakk.
7.1t,Den realiserte forma er eit leseleg arkiv over kompromisset sin dimensjonalitet. Ei form designa under trong omhug sviktar systematisk langs dei aksane som ikkje vart tekne vare på. Svikten er ikkje tilfeldig; ho ber signaturen av blindskapen som produserte ho.
7.11t,Signaturen er leseleg fordi form ikkje er tilfeldig støy; ho er residuet av ein retta prosess. Retninga er gjeven av lyskjegla.
7.12t,To former designa under ulik omhug for same funksjon vil skilje seg langs dei aksane den eine designaren såg og den andre ikkje såg. Skilnaden er arkivet.
7.13t,"Arkivet er ikkje ei skulding. Det er eit faktum. Same faktumet som gjer geologi leseleg, gjer design leseleg."
7.14t,"Påstanden er deskriptiv og falsifiserbar uavhengig av den normative. Ho kan testast: dersom former designa under demonstrerbart trong omhug ikkje presterer dårlegare langs urepresenterte aksar enn former designa under brei omhug, er proposisjonen tilbakevist."
7.15t,Ein designteori utan omgrep for kognitiv lyskjegle kan ikkje predikera sviktsignatur. Ho kan berre registrera han i ettertid.
7.151t,Prediksjonen krev at teorien namngjev representasjonsgrensa. Utan grensa finst inga akse å peike ut som urepresentert før svikten inntreffer.
7.152t,Ein formgrammatikk åleine (5.72 i) genererer det moglege språket; ho kan ikkje skilje kva i språket som vil svikte langs kva akse. Ein kunnskapsromteori åleine (5.72 ii) partisjonerer K og C; ho kan ikkje utlede sviktsignatur. Derfor krev prediksjon alle tre lag.
7.153t,Sviktsignaturen er difor ikkje ein empirisk bonus; han er prøvesteinen på at teorien faktisk forklarar form. Ein teori som ikkje predikerer sviktsignatur forklarer ikkje form; ho katalogiserer han.
7.2a,"Dersom designaren kunne ha representert fleire aksar men valde å ikkje gjere det, er dei resulterande sviktane tilskrivbare det valet."
7.21t,Designhandlinga har reelle konsekvensar for andre agentar som navigerer det same landskapet.
7.23t,Gapet mellom kapasitet og omhug er det etiske rommet i design. Kapasiteten set den øvre grensa; omhugen avgjer kor mykje av grensa som vert nytta. Det unytta gapet er det forma sviktar langs.
7.3t,Formverda er det tilfellet som verkar. Navigasjonen held fram.
